Protein,Protein ID,Entry Name,Gene,Length,Organism,Protein Description,Protein Existence,Protein Probability,Top Peptide Probability,Total Peptides,Unique Peptides,Razor Peptides,Total Spectral Count,Unique Spectral Count,Razor Spectral Count,Total Intensity,Unique Intensity,Razor Intensity,Razor Assigned Modifications,Razor Observed Modifications,Indistinguishable Proteins,MCF_ctrl_1,MCF_ctrl_2,MCF_ctrl_3,MCF_ctrl_4,MCF_KD_1,MCF_KD_2,MCF_KD_3,MCF_KD_4,MDA_ctrl_1,MDA_ctrl_2,MDA_ctrl_3,MDA_ctrl_4,MDA_KD_1,MDA_KD_2,MDA_KD_3,MDA_KD_4
sp|A0JNW5|UH1BL_HUMAN,A0JNW5,UH1BL_HUMAN,UHRF1BP1L,1464,Homo sapiens OX=9606,UHRF1-binding protein 1-like ,1:Experimental evidence at protein level,1,0.999,17,17,17,27,27,27,74803063,74803063,74803063,"10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 1C(57.0214), 20K(304.2071), 2M(15.9949), 5M(15.9949), 7K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)",,,841436.7188,693115.0576,773769.5205,563843.688,918586.4874,1159143.364,848228.4672,988308.2264,1474584.508,1210955.373,1233120.8,1522836.738,1912224.633,1621918.095,1637952.599,1779995.647
sp|A0MZ66|SHOT1_HUMAN,A0MZ66,SHOT1_HUMAN,SHTN1,631,Homo sapiens OX=9606,Shootin-1 ,1:Experimental evidence at protein level,1,0.999,23,23,23,46,46,46,295170652,295170652,295170652,"10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 15K(304.2071), 17K(304.2071), 19K(304.2071), 1K(304.2071), 20K(304.2071), 21K(304.2071), 2K(304.2071), 2M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,2682831.313,2199583.097,2390815.673,1318614.798,3019469.769,4018510.139,3046294.534,3376007.615,2008274.881,1539034.347,1432570.629,1869904.5,2353268.653,2051871.422,1836698.912,2087349.235
sp|A1A4S6|RHG10_HUMAN,A1A4S6,RHG10_HUMAN,ARHGAP10,786,Homo sapiens OX=9606,Rho GTPase-activating protein 10 ,1:Experimental evidence at protein level,1,0.9988,4,4,4,5,5,5,11318876,11318876,11318876,"10K(304.2071), 1K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)",,,145155.4141,117132.1947,136464.1061,91417.8055,154932.0944,200283.1809,159570.2188,154429.6683,222062.0637,190759.125,192044.1375,243350.6293,289237.3477,259808.2541,263908.0198,289554.0547
sp|A1A5D9|BICL2_HUMAN,A1A5D9,BICL2_HUMAN,BICDL2,508,Homo sapiens OX=9606,BICD family-like cargo adapter 2 ,1:Experimental evidence at protein level,1,0.999,4,4,4,4,4,4,12782755,12782755,12782755,"12K(304.2071), 17K(304.2071), 18K(304.2071), N-term(304.2071)",,,92043.3309,87168.6682,92568.1182,59351.9307,110572.6762,155369.9932,93076.8179,124259.8833,63178.4949,60273.674,71920.8169,91862.1061,118197.9663,119213.3334,96937.4441,104629.0279
sp|A1L0T0|HACL2_HUMAN,A1L0T0,HACL2_HUMAN,ILVBL,632,Homo sapiens OX=9606,2-hydroxyacyl-CoA lyase 2 ,1:Experimental evidence at protein level,1,0.999,13,13,13,27,27,27,86983279,86983279,86983279,"11C(57.0214), 12C(57.0214), 12M(15.9949), 21K(304.2071), 24K(304.2071), 2K(304.2071), 2M(15.9949), 3M(15.9949), 6K(304.2071), 6M(15.9949), 9C(57.0214), 9K(304.2071), N-term(304.2071)",,,1102247.872,878132.9688,1022685.602,711307.958,1187117.304,1577775.417,1263704.213,1289865.394,1727763.097,1364574.982,1313500.659,1693983.756,1981097.416,1686233.578,1640695.041,1815987.545
sp|A1L390|PKHG3_HUMAN,A1L390,PKHG3_HUMAN,PLEKHG3,1219,Homo sapiens OX=9606,Pleckstrin homology domain-containing family G member 3 ,1:Experimental evidence at protein level,1,0.999,5,5,5,7,7,7,13629479,13629479,13629479,"12K(304.2071), 13K(304.2071), 18K(304.2071), 6C(57.0214), 9K(304.2071), N-term(304.2071)",,,193831.8543,154337.2287,179502.7838,126362.2582,187525.6088,258570.1639,211084.1251,240844.994,212979.371,173472.0251,160496.9347,202592.005,271004.959,215086.4406,229666.6433,241788.9739
sp|A1X283|SPD2B_HUMAN,A1X283,SPD2B_HUMAN,SH3PXD2B,911,Homo sapiens OX=9606,SH3 and PX domain-containing protein 2B ,1:Experimental evidence at protein level,1,0.999,11,9,11,18,15,18,31683718,31014800,31683718,"10K(304.2071), 12K(304.2071), 13K(304.2071), 17K(304.2071), 18K(304.2071), 20K(304.2071), 2K(304.2071), 5K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,792497.9386,690106.5778,717398.5532,460029.6158,950894.7954,1203754.065,954341.9641,985273.9036,884514.52,706129.6269,687278.7818,861070.02,1126075.443,936972.8006,913046.5451,1008049.395
sp|A2RRP1|NBAS_HUMAN,A2RRP1,NBAS_HUMAN,NBAS,2371,Homo sapiens OX=9606,NBAS subunit of NRZ tethering complex ,1:Experimental evidence at protein level,1,0.999,25,25,25,37,37,37,49553713,49553713,49553713,"10C(57.0214), 10K(304.2071), 11K(304.2071), 12K(304.2071), 14K(304.2071), 17K(304.2071), 1C(57.0214), 2K(304.2071), 4C(57.0214), 5C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,1715863.272,1409676.914,1638474.156,1111000.114,1975430.291,2659990.506,1973211.272,2163920.974,2203976.946,1819008.938,1792878.139,2303822.167,2810367.428,2475774.057,2285898.233,2714596.829
sp|A2RTX5|SYTC2_HUMAN,A2RTX5,SYTC2_HUMAN,TARS3,802,Homo sapiens OX=9606,"Threonine--tRNA ligase 2, cytoplasmic ",1:Experimental evidence at protein level,1,0.999,2,2,2,3,3,3,740737423,4006397,4006397,"10K(304.2071), 13K(304.2071), N-term(304.2071)",,,125376.1895,104091.2706,126571.8037,73030.8256,151272.5344,198305.7864,147339.5503,160513.8595,96902.1643,81606.8079,77078.8967,100023.2899,123128.8555,107988.8496,105575.6712,127705.3696
sp|A2RUS2|DEND3_HUMAN,A2RUS2,DEND3_HUMAN,DENND3,1198,Homo sapiens OX=9606,DENN domain-containing protein 3 ,1:Experimental evidence at protein level,1,0.999,4,4,4,6,6,6,8165568,8165568,8165568,"11K(304.2071), 9K(304.2071), N-term(304.2071)",,,90523.9711,80959.9083,86551.204,67744.6238,93806.2892,118887.5155,90401.0556,101892.5532,200612.2065,148136.9758,155418.6597,191798.2607,266254.6533,213365.0817,211623.1605,234199.9046
sp|A3KMH1|VWA8_HUMAN,A3KMH1,VWA8_HUMAN,VWA8,1905,Homo sapiens OX=9606,von Willebrand factor A domain-containing protein 8 ,1:Experimental evidence at protein level,1,0.999,28,28,28,37,37,37,193101022,193101022,193101022,"11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 19K(304.2071), 1K(304.2071), 23K(304.2071), 3C(57.0214), 6C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,1891309.651,1505988.918,1761178.028,1084173.772,2174038.821,2943109.479,2309651.528,2444587.902,1275182.159,1023050.88,969477.0563,1231743.185,1547217.024,1331392.285,1310349.146,1435017.791
sp|A3KN83|SBNO1_HUMAN,A3KN83,SBNO1_HUMAN,SBNO1,1393,Homo sapiens OX=9606,Protein strawberry notch homolog 1 ,1:Experimental evidence at protein level,1,0.999,15,11,15,26,18,26,24699334,23897312,24699334,"11K(304.2071), 15K(304.2071), 22K(304.2071), 24K(304.2071), 2K(304.2071), 5K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,785677.9459,675814.2428,773782.3958,507927.2909,898742.7094,1187508.156,908269.1806,970842.9768,1085487.165,918975.7422,878162.3027,1163836.529,1383170.651,1210623.716,1203616.059,1339318.051
sp|A4D126|ISPD_HUMAN,A4D126,ISPD_HUMAN,CRPPA,451,Homo sapiens OX=9606,D-ribitol-5-phosphate cytidylyltransferase ,1:Experimental evidence at protein level,1,0.9989,2,2,2,3,3,3,8364340,8364340,8364340,"10K(304.2071), N-term(304.2071)",,,62263.1332,55967.5985,61684.363,43221.711,73532.9167,86604.6556,66048.5173,76909.3527,91228.7425,76386.8339,75842.6849,111690.4354,118625.5723,110542.5392,103522.3638,115683.4298
sp|A4D1E9|GTPBA_HUMAN,A4D1E9,GTPBA_HUMAN,GTPBP10,387,Homo sapiens OX=9606,GTP-binding protein 10 ,1:Experimental evidence at protein level,1,0.999,7,7,7,10,10,10,22796282,22796282,22796282,"10K(304.2071), 11K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 1K(304.2071), 22K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,,336717.8955,267779.6249,322156.1706,195318.9479,366174.047,522362.3804,376014.0753,420657.1727,556029.6061,465159.9547,428830.9861,560323.838,671778.29,609413.4412,550918.7683,661206.6996
sp|A5D8V6|VP37C_HUMAN,A5D8V6,VP37C_HUMAN,VPS37C,355,Homo sapiens OX=9606,Vacuolar protein sorting-associated protein 37C ,1:Experimental evidence at protein level,1,0.999,2,2,2,3,3,3,24650996,24650996,24650996,"5K(304.2071), 7K(304.2071), N-term(304.2071), N-term(42.0106)",,,136366.0548,90978.5768,104533.5622,70236.871,126062.6983,168429.3062,147063.5864,139849.5511,139881.2518,101028.7887,88056.4749,124816.8067,166297.7539,145583.8676,125532.3131,151725.0227
sp|A5PLL7|PDES1_HUMAN,A5PLL7,PDES1_HUMAN,PEDS1,270,Homo sapiens OX=9606,Plasmanylethanolamine desaturase ,1:Experimental evidence at protein level,1,0.999,3,3,3,3,3,3,9170954,9170954,9170954,"13K(304.2071), N-term(304.2071)",,,130235.369,105475.9706,130721.2255,91386.3444,147344.3354,213612.8645,188425.0344,165126.9926,164447.4457,124240.6652,112680.9536,146843.4204,177972.8027,159375.5501,135648.2838,166552.3888
sp|A5YKK6|CNOT1_HUMAN,A5YKK6,CNOT1_HUMAN,CNOT1,2376,Homo sapiens OX=9606,CCR4-NOT transcription complex subunit 1 ,1:Experimental evidence at protein level,1,0.999,46,46,46,80,80,80,112260620,112260620,112260620,"10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 1C(57.0214), 1K(304.2071), 22M(15.9949), 23K(304.2071), 25K(304.2071), 26K(304.2071), 28K(304.2071), 2C(57.0214), 2K(304.2071), 5C(57.0214), 5K(304.2071), 7C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)",,,3850850.085,3179334.079,3504203.16,2414735.04,4170800.474,5700242.845,4269316.911,4652100.064,5110125.773,4064621.81,3893158.646,4855989.456,5992634.774,5050131.361,4902900.3,5649985.966
sp|A6NCE7|MP3B2_HUMAN,A6NCE7,MP3B2_HUMAN,MAP1LC3B2,125,Homo sapiens OX=9606,Microtubule-associated proteins 1A/1B light chain 3 beta 2 ,1:Experimental evidence at protein level,1,0.999,2,0,2,8,0,8,103194776,0,103194776,"14K(304.2071), 7K(304.2071), 9M(15.9949), N-term(304.2071)",,sp|Q9GZQ8|MLP3B_HUMAN,546653.8187,430308.9165,515432.1123,337008.9458,628785.7705,779558.1136,711968.4482,675991.5199,643970.2657,510639.1402,479747.7315,633446.9003,792389.6562,679937.8215,612966.3623,676871.5119
sp|A6ND36|FA83G_HUMAN,A6ND36,FA83G_HUMAN,FAM83G,823,Homo sapiens OX=9606,Protein FAM83G ,1:Experimental evidence at protein level,1,0.999,3,3,3,4,4,4,17023520,17023520,17023520,"13K(304.2071), N-term(304.2071)",,,75538.6636,57781.3735,66488.0564,40244.8747,108640.5508,205058.2982,235563.8293,152520.641,298519.3656,183657.1434,224169.2421,198567.6986,232374.5527,210259.1213,221001.5712,295249.1285
sp|A6NDG6|PGP_HUMAN,A6NDG6,PGP_HUMAN,PGP,321,Homo sapiens OX=9606,Glycerol-3-phosphate phosphatase ,1:Experimental evidence at protein level,1,0.999,4,4,4,9,9,9,62491455,62491455,62491455,"10K(304.2071), 15K(304.2071), 4M(15.9949), 7K(304.2071), N-term(304.2071)",,,904925.5147,617467.1385,854518.8531,631882.3971,788355.1386,937316.1749,847411.3994,931947.0264,572604.4359,464879.0359,416833.6519,581447.855,757842.2461,657365.3095,631453.2464,629327.0553
sp|A6NDU8|RIMC1_HUMAN,A6NDU8,RIMC1_HUMAN,RIMOC1,294,Homo sapiens OX=9606,RAB7A-interacting MON1-CCZ1 complex subunit 1 ,1:Experimental evidence at protein level,1,0.999,2,2,2,3,3,3,6102870,6102870,6102870,"10K(304.2071), 5C(57.0214), N-term(304.2071)",,,200098.0552,170414.5243,225677.266,142084.914,220951.0071,254047.7297,176453.1506,207227.5398,214442.0501,172827.0553,161247.769,204443.0811,268978.8828,249159.4385,188558.759,217067.5305
sp|A6NHR9|SMHD1_HUMAN,A6NHR9,SMHD1_HUMAN,SMCHD1,2005,Homo sapiens OX=9606,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 ,1:Experimental evidence at protein level,1,0.999,41,41,41,61,61,61,66623074,66623074,66623074,"10C(57.0214), 10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 17C(57.0214), 19K(304.2071), 20K(304.2071), 21K(304.2071), 24K(304.2071), 2C(57.0214), 2K(304.2071), 3C(57.0214), 4C(57.0214), 4K(304.2071), 4M(15.9949), 7C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,2142279.506,1695916.184,2066848.882,1337516.016,2396423.654,3376426.992,3019262.937,2847490.179,4306166.059,3264279.677,3068098.202,3755926.705,4844848.289,4140540.239,3888518.696,4662184.219
sp|A6NI28|RHG42_HUMAN,A6NI28,RHG42_HUMAN,ARHGAP42,874,Homo sapiens OX=9606,Rho GTPase-activating protein 42 ,1:Experimental evidence at protein level,1,0.999,3,3,3,3,3,3,4971533,4971533,4971533,"15K(304.2071), N-term(304.2071)",,,84692.1732,64517.4516,85635.0337,62327.3606,91030.3594,112038.3661,89884.3979,97858.794,117698.6013,97644.4917,100693.9554,123166.334,173015.9961,148764.5361,154564.4625,157254.8944
sp|A6NIH7|U119B_HUMAN,A6NIH7,U119B_HUMAN,UNC119B,251,Homo sapiens OX=9606,Protein unc-119 homolog B ,1:Experimental evidence at protein level,1,0.999,3,2,3,5,3,5,11996611,4974639,11996611,"10K(304.2071), 2M(15.9949), N-term(304.2071)",,,191810.5075,154422.8894,195638.3204,115070.3117,211191.4453,289572.8541,217753.5441,253804.4246,212238.2068,155332.7695,152173.9724,196622.7799,258976.5098,213197.296,196054.8193,230569.3274
sp|A6NKD9|CC85C_HUMAN,A6NKD9,CC85C_HUMAN,CCDC85C,419,Homo sapiens OX=9606,Coiled-coil domain-containing protein 85C ,1:Experimental evidence at protein level,1,0.999,6,6,6,8,8,8,20749320,20749320,20749320,N-term(304.2071),,,226578.1417,179532.4084,196520.5463,151592.762,225770.6675,307726.5525,251844.4099,256063.7306,256212.7429,212178.4364,210769.2039,259476.3682,335939.5869,284808.4954,298858.9593,312177.0385
sp|A6ZKI3|RTL8C_HUMAN,A6ZKI3,RTL8C_HUMAN,RTL8C,113,Homo sapiens OX=9606,Retrotransposon Gag-like protein 8C ,1:Experimental evidence at protein level,1,0.999,5,1,5,10,2,10,301532728,9205304,301532728,"1K(304.2071), 6M(15.9949), 7K(304.2071), N-term(304.2071)",,,852153.6854,654906.7203,802391.7143,548219.2754,1033819.308,1358641.898,1105220.41,1158155.341,1106964.465,883217.1953,842617.1759,1035116.262,1435815.539,1239492.491,1179782.036,1338826.176
sp|A7E2V4|ZSWM8_HUMAN,A7E2V4,ZSWM8_HUMAN,ZSWIM8,1837,Homo sapiens OX=9606,Zinc finger SWIM domain-containing protein 8 ,1:Experimental evidence at protein level,1,0.999,3,3,3,4,4,4,63604783,63604783,63604783,"8K(304.2071), N-term(304.2071)",,,233049.1234,162615.8253,173619.3713,134462.074,148077.6372,141429.9463,95759.1839,113051.5307,142975.3969,127471.6535,134801.7065,188419.5957,267709.3777,191753.9035,245624.9444,202563.5339
sp|A8K0Z3|WASH1_HUMAN,A8K0Z3,WASH1_HUMAN,WASHC1,465,Homo sapiens OX=9606,WASH complex subunit 1 ,1:Experimental evidence at protein level,1,0.999,9,0,9,17,0,17,46550062,0,46550062,"10K(304.2071), 12K(304.2071), 13K(304.2071), 16K(304.2071), 17K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)",,"sp|C4AMC7|WASH3_HUMAN, sp|Q6VEQ5|WASH2_HUMAN",1055638.22,890376.6825,1009068.019,646691.9423,1089896.25,1463264.399,1219045.823,1196475.841,1099300.465,877629.2478,809483.4247,1061689.348,1353532.723,1132589.164,1137384.71,1242936.847
sp|A8MW92|P20L1_HUMAN,A8MW92,P20L1_HUMAN,PHF20L1,1017,Homo sapiens OX=9606,PHD finger protein 20-like protein 1 ,1:Experimental evidence at protein level,1,0.999,3,3,3,4,4,4,188875227,1851111,1851111,"10K(304.2071), 12K(304.2071), 1K(304.2071), 9K(304.2071), N-term(304.2071)",,,57372.5581,46240.3596,51571.7179,41570.7834,59367.4935,75110.1587,61159.5589,67872.7935,89196.6335,72127.3717,64015.5176,88492.445,103223.7754,85593.4094,87398.9681,92434.6915
sp|A8MWD9|RUXGL_HUMAN,A8MWD9,RUXGL_HUMAN,SNRPGP15,76,Homo sapiens OX=9606,Putative small nuclear ribonucleoprotein G-like protein 15 ,5:Protein uncertain,1,0.999,5,0,5,15,0,15,150240960,0,150240960,"6M(15.9949), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,sp|P62308|RUXG_HUMAN,1271421.821,962669.8374,1128975.695,683106.2449,1215850.371,1828693.784,1811128.515,1513106.858,2035813.661,1442465.045,1319084.241,1566443.881,1928097.195,1444807.595,1462472.393,1791421.58
sp|A8MXV4|NUD19_HUMAN,A8MXV4,NUD19_HUMAN,NUDT19,375,Homo sapiens OX=9606,Acyl-coenzyme A diphosphatase NUDT19 ,1:Experimental evidence at protein level,1,0.999,3,3,3,7,7,7,43832789,43832789,43832789,"12K(304.2071), N-term(304.2071)",,,401836.7199,301332.2139,386770.427,247056.413,460635.9685,594670.4085,586938.3598,518719.4326,708405.0977,483248.1586,482986.6389,580000.1524,783331.2188,732029.483,658499.6086,757381.1999
sp|A9UHW6|MI4GD_HUMAN,A9UHW6,MI4GD_HUMAN,MIF4GD,222,Homo sapiens OX=9606,MIF4G domain-containing protein ,1:Experimental evidence at protein level,1,0.999,5,5,5,8,8,8,38033752,38033752,38033752,"13C(57.0214), 13K(304.2071), 17K(304.2071), 4K(304.2071), 9K(304.2071), N-term(304.2071)",,,543007.533,439310.6191,517431.6331,347183.6679,627886.1203,741471.1827,494134.5083,570374.469,788239.6062,613508.8417,653651.0731,824931.3409,1091823.434,864956.7551,890117.187,997066.4067
sp|B1AK53|ESPN_HUMAN,B1AK53,ESPN_HUMAN,ESPN,854,Homo sapiens OX=9606,Espin ,1:Experimental evidence at protein level,1,0.999,3,3,3,5,5,5,7611110,7611110,7611110,"15K(304.2071), 4K(304.2071), N-term(304.2071)",,,132498.8873,102187.5923,125041.5294,77134.4371,144319.1154,194046.2403,169047.5679,161755.6417,96679.9035,74828.0509,74223.4746,96519.2778,122983.8662,104160.1616,101883.0116,115306.6163
sp|B2RTY4|MYO9A_HUMAN,B2RTY4,MYO9A_HUMAN,MYO9A,2548,Homo sapiens OX=9606,Unconventional myosin-IXa ,1:Experimental evidence at protein level,1,0.999,6,6,6,6,6,6,10767818,10767818,10767818,"11M(15.9949), 13K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,242309.6556,213688.2724,212059.074,166397.5922,244274.3617,313231.896,196504.8103,265321.4389,256735.0266,219105.2502,206311.7102,280314.6115,319916.5625,285512.2583,299408.8873,317034.5538
